t,temp,flow-in,flow-out
0,0,100,0.0
1,0.025,100,2.5
2,0.049375,100,4.9375
3,0.073140625,100,7.3140625
4,0.096312109375,100,9.631210937499999
5,0.118904306640625,100,11.8904306640625
6,0.1409316989746094,100,14.093169897460939
7,0.16240840650024416,100,16.240840650024417
8,0.18334819633773805,100,18.334819633773805
9,0.2037644914292946,100,20.37644914292946
10,0.22367037914356222,100,22.36703791435622
11,0.24307861966497316,100,24.307861966497317
12,0.2620016541733488,100,26.20016541733488
13,0.2804516128190151,100,28.04516128190151
14,0.2984403224985397,100,29.844032249853967
15,0.3159793144360762,100,31.597931443607617
16,0.3330798315751743,100,33.30798315751743
17,0.3497528357857949,100,34.97528357857949
18,0.36600901489115006,100,36.600901489115
19,0.3818587895188713,100,38.18587895188713
20,0.39731231978089954,100,39.73123197808995
21,0.41237951178637705,100,41.23795117863771
22,0.4270700239917176,100,42.70700239917176
23,0.4413932733919247,100,44.13932733919247
24,0.45535844155712657,100,45.53584415571266
25,0.4689744805181984,100,46.89744805181984
26,0.48225011850524346,100,48.225011850524346
27,0.49519386554261235,100,49.51938655426124
28,0.5078140189040471,100,50.78140189040471
29,0.5201186684314459,100,52.011866843144595
30,0.5321157017206598,100,53.21157017206598
31,0.5438128091776433,100,54.38128091776433
32,0.5552174889482022,100,55.52174889482022
33,0.5663370517244972,100,56.63370517244972
34,0.5771786254313848,100,57.71786254313847
35,0.5877491597956002,100,58.774915979560014
36,0.5980554308007101,100,59.80554308007101
37,0.6081040450306924,100,60.810404503069236
38,0.6179014439049251,100,61.79014439049251
39,0.6274539078073019,100,62.74539078073019
40,0.6367675601121193,100,63.676756011211936
41,0.6458483711093164,100,64.58483711093163
42,0.6547021618315835,100,65.47021618315834
43,0.6633346077857939,100,66.3334607785794
44,0.671751242591149,100,67.17512425911491
45,0.6799574615263703,100,67.99574615263703
46,0.687958524988211,100,68.79585249882109
47,0.6957595618635057,100,69.57595618635057
48,0.7033655728169181,100,70.33655728169181
49,0.7107814334964951,100,71.07814334964951
50,0.7180118976590828,100,71.80118976590828
51,0.7250616002176057,100,72.50616002176056
52,0.7319350602121656,100,73.19350602121656
53,0.7386366837068614,100,73.86366837068614
54,0.7451707666141899,100,74.517076661419
55,0.7515414974488351,100,75.15414974488351
56,0.7577529600126143,100,75.77529600126142
57,0.7638091360122989,100,76.38091360122989
58,0.7697139076119914,100,76.97139076119915
59,0.7754710599216916,100,77.54710599216916
60,0.7810842834236493,100,78.10842834236493
61,0.7865571763380581,100,78.6557176338058
62,0.7918932469296066,100,79.18932469296067
63,0.7970959157563664,100,79.70959157563664
64,0.8021685178624572,100,80.21685178624573
65,0.8071143049158959,100,80.71143049158958
66,0.8119364472929985,100,81.19364472929985
67,0.8166380361106735,100,81.66380361106735
68,0.8212220852079067,100,82.12220852079068
69,0.825691533077709,100,82.5691533077709
70,0.8300492447507664,100,83.00492447507663
71,0.8342980136319972,100,83.42980136319972
72,0.8384405632911972,100,83.84405632911972
73,0.8424795492089173,100,84.24795492089173
74,0.8464175604786944,100,84.64175604786945
75,0.850257121466727,100,85.0257121466727
76,0.8540006934300589,100,85.4000693430059
77,0.8576506760943075,100,85.76506760943074
78,0.8612094091919498,100,86.12094091919498
79,0.864679173962151,100,86.4679173962151
80,0.8680621946130972,100,86.80621946130972
81,0.8713606397477698,100,87.13606397477697
82,0.8745766237540755,100,87.45766237540755
83,0.8777122081602237,100,87.77122081602236
84,0.8807694029562181,100,88.07694029562181
85,0.8837501678823126,100,88.37501678823126
86,0.8866564136852548,100,88.66564136852548
87,0.8894900033431234,100,88.94900033431234
88,0.8922527532595453,100,89.22527532595453
89,0.8949464344280567,100,89.49464344280567
90,0.8975727735673552,100,89.75727735673551
91,0.9001334542281714,100,90.01334542281714
92,0.902630117872467,100,90.26301178724671
93,0.9050643649256553,100,90.50643649256554
94,0.907437755802514,100,90.7437755802514
95,0.9097518119074511,100,90.97518119074512
96,0.9120080166097648,100,91.20080166097648
97,0.9142078161945207,100,91.42078161945207
98,0.9163526207896577,100,91.63526207896578
99,0.9184438052699163,100,91.84438052699163
